SAMPLE	GENOME	RESTR
BorC1-2_Mut	mm10	DpnII
BorC1-4_Mut	mm10	DpnII
BorC1_Mut	mm10	DpnII
Bor_Mut	mm10	DpnII
CTCF_Mut	mm10	DpnII
DelB_Mut	hg38	DpnII
DelB_WT	hg38	DpnII
DelBs_Mut	mm10	DpnII
DelL-Mm_Mut	mm10	DpnII
Dup-C_Mut	mm10	DpnII
Dup-LBor_Mut	mm10	DpnII
Dup-L_Mut	mm10	DpnII
Dup-S_Mut	mm10	DpnII
Dup-S_WT	mm10	DpnII
FL_Inv1-Mm_Mut	mm10	DpnII
FL_Inv1-Mm_WT	mm10	DpnII
Fir_WT	mm10	HindIII
FirreKO_fem_Mut	mm10	HindIII
FirreKO_fem_WT	mm10	HindIII
FirreKO_mESC_Mut	mm10	HindIII
FirreKO_mESC_WT	mm10	HindIII
Inv1_Mut	mm10	DpnII
Inv1_WT	mm10	DpnII
Inv1d_Mut	mm10	DpnII
Inv2_Mut	mm10	DpnII
Inv3_Mut	mm10	DpnII
Inv4_Mut	mm10	DpnII
InvCBor	mm10	DpnII
InvC_Mut	mm10	DpnII
InvF_Mut	mm10	DpnII
InvIntra	mm10	DpnII
InvIntra	mm10	DpnII
Lprom_Mut	mm10	DpnII
MusDelB_Mut	mm10	DpnII
MusDelB_Mut	mm10	DpnII
MusDelB_WT	mm10	DpnII
Neur1-Mm_Mut	mm10	DpnII
Pitx1-fs-Mm_Mut	mm10	DpnII
ZRSreg_Mut	mm10	DpnII
del1-13d9lac_Mut	mm10	DpnII
del1-13d9lac_WT	mm10	DpnII
delattP-Rel5d9lac_Mut	mm10	DpnII
i4i5ZRS_Mut	mm10	DpnII
i4i5ZRSreg_Mut	mm10	DpnII
i4i5_Mut	mm10	DpnII
i4i5_WT	mm10	DpnII
mbi4i5ZRS_WT	mm10	DpnII
 
